player,innings,runs,balls,fours,sixes,dismissals,average,strike_rate,boundary_rate,balls_bowled,runs_conceded,wickets,overs,economy,bowling_avg,bowling_strike_rate,batting_strength,bowling_strength,overall_strength
A Symonds,36,974.0,750.0,74.0,41.0,27.0,36.074074074074076,129.86666666666667,0.15333333333333332,528.0,694.0,23.0,88.0,7.886363636363637,30.17391304347826,22.956521739130434,57.3562962962963,9.14280303030303,66.49909932659934
A Tomar,1,4.0,8.0,1.0,0.0,1.0,4.0,50.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.1,0.2,19.3
A Uniyal,2,4.0,7.0,0.0,0.0,1.0,4.0,57.142857142857146,0.0,36.0,67.0,3.0,6.0,11.166666666666666,22.333333333333332,12.0,18.842857142857145,-1.833333333333333,17.009523809523813
A Zampa,22,15.0,24.0,1.0,0.0,5.0,3.0,62.5,0.041666666666666664,467.0,656.0,32.0,77.5,8.428265524625267,20.5,14.59375,22.48333333333333,13.485224839400429,35.96855817273376
AA Bilakhia,7,69.0,85.0,5.0,0.0,5.0,13.8,81.17647058823529,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.24941176470588,0.2,31.44941176470588
AA Chavan,13,12.0,11.0,2.0,0.0,2.0,6.0,109.0909090909091,0.18181818181818182,248.0,339.0,8.0,41.2,8.201612903225806,42.375,31.0,39.86363636363637,1.5459677419354838,41.40960410557185
AA Jhunjhunwala,18,217.0,210.0,19.0,5.0,13.0,16.692307692307693,103.33333333333333,0.11428571428571428,85.0,130.0,1.0,14.1,9.176470588235295,130.0,85.0,40.46263736263736,-2.250588235294118,38.21204912734324
AA Kazi,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,21.0,1.0,2.0,10.5,21.0,12.0,0.1,-2.6333333333333333,-2.533333333333333
AA Kulkarni,2,9.0,8.0,2.0,0.0,2.0,4.5,112.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.55,0.2,40.75
AA Noffke,1,9.0,10.0,1.0,0.0,1.0,9.0,90.0,0.1,24.0,41.0,1.0,4.0,10.25,41.0,24.0,32.6,-2.5666666666666664,30.033333333333335
AB Agarkar,42,179.0,154.0,13.0,5.0,9.0,19.88888888888889,116.23376623376623,0.11688311688311688,784.0,1174.0,33.0,130.4,8.98469387755102,35.57575757575758,23.757575757575758,48.463347763347755,13.813010204081634,62.27635796742939
AB Barath,3,42.0,42.0,5.0,1.0,2.0,21.0,100.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.357142857142854,0.2,41.55714285714286
AB Dinda,76,26.0,48.0,2.0,0.0,10.0,2.6,54.166666666666664,0.041666666666666664,1530.0,2103.0,82.0,255.0,8.24705882352941,25.646341463414632,18.658536585365855,24.723333333333333,38.53660130718954,63.25993464052287
AB McDonald,10,123.0,100.0,9.0,4.0,5.0,24.6,123.0,0.13,186.0,263.0,14.0,31.0,8.483870967741936,18.785714285714285,13.285714285714286,49.84,4.469892473118279,54.30989247311828
AB de Villiers,170,5181.0,3411.0,414.0,253.0,130.0,39.853846153846156,151.8909410729991,0.19554382878921137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.41969735922243,0.2,69.61969735922243
AC Blizzard,7,120.0,90.0,21.0,2.0,7.0,17.142857142857142,133.33333333333334,0.25555555555555554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.968253968253975,0.2,52.16825396825398
AC Gilchrist,80,2069.0,1495.0,239.0,92.0,76.0,27.223684210526315,138.39464882943145,0.2214046822742475,1.0,0.0,1.0,0.1,0.0,0.0,1.0,57.23596197852491,0.7,57.935961978524915
AC Thomas,15,20.0,19.0,1.0,1.0,2.0,10.0,105.26315789473684,0.10526315789473684,317.0,416.0,16.0,52.5,7.873817034700315,26.0,19.8125,38.984210526315785,5.64794952681388,44.63216005312967
AC Voges,8,181.0,143.0,15.0,3.0,4.0,45.25,126.57342657342657,0.1258741258741259,54.0,76.0,1.0,9.0,8.444444444444445,76.0,54.0,58.989510489510494,-2.0296296296296297,56.95988085988086
AD Hales,6,148.0,118.0,13.0,6.0,6.0,24.666666666666668,125.42372881355932,0.16101694915254236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.714124293785304,0.2,50.91412429378531
AD Mascarenhas,13,79.0,78.0,5.0,1.0,9.0,8.777777777777779,101.28205128205128,0.07692307692307693,308.0,365.0,19.0,51.2,7.1103896103896105,19.210526315789473,16.210526315789473,35.83418803418803,7.37922077922078,43.21340881340881
AD Mathews,46,724.0,575.0,44.0,29.0,30.0,24.133333333333333,125.91304347826087,0.12695652173913044,792.0,1095.0,28.0,132.0,8.295454545454545,39.107142857142854,28.285714285714285,51.5663768115942,11.518434343434343,63.08481115502855
AD Nath,10,90.0,98.0,7.0,2.0,10.0,9.0,91.83673469387755,0.09183673469387756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.987755102040815,0.2,33.18775510204082
AD Russell,134,2655.0,1525.0,187.0,223.0,95.0,27.94736842105263,174.0983606557377,0.26885245901639343,1819.0,2909.0,133.0,303.1,9.59538207806487,21.872180451127818,13.676691729323307,72.68550474547024,63.636008796041786,136.32151354151202
AF Milne,10,23.0,29.0,0.0,1.0,4.0,5.75,79.3103448275862,0.034482758620689655,208.0,339.0,9.0,34.4,9.778846153846155,37.666666666666664,23.11111111111111,27.382758620689657,1.5749999999999995,28.957758620689656
AG Murtaza,12,10.0,14.0,1.0,0.0,1.0,10.0,71.42857142857143,0.07142857142857142,264.0,322.0,12.0,44.0,7.318181818181818,26.833333333333332,22.0,27.957142857142856,3.813636363636364,31.770779220779218
AG Paunikar,5,49.0,58.0,9.0,0.0,5.0,9.8,84.48275862068965,0.15517241379310345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.36827586206896,0.2,32.568275862068965
AJ Finch,90,2092.0,1635.0,214.0,78.0,84.0,24.904761904761905,127.95107033639144,0.17859327217125381,43.0,67.0,1.0,7.1,9.348837209302324,67.0,43.0,52.51909130624727,-2.2999999999999994,50.21909130624727
AJ Hosein,1,16.0,10.0,1.0,1.0,0.0,16.0,160.0,0.2,24.0,41.0,1.0,4.0,10.25,41.0,24.0,58.5,-2.5666666666666664,55.93333333333334
AJ Turner,6,24.0,28.0,0.0,2.0,5.0,4.8,85.71428571428571,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.16285714285714,0.2,29.362857142857138
AJ Tye,30,91.0,76.0,6.0,5.0,9.0,10.11111111111111,119.73684210526316,0.14473684210526316,687.0,1005.0,48.0,114.3,8.777292576419214,20.9375,14.3125,44.96023391812865,21.380786026200873,66.34101994432953
AK Markram,56,1440.0,1066.0,111.0,57.0,46.0,31.304347826086957,135.08442776735458,0.1575984990619137,188.0,275.0,6.0,31.2,8.77659574468085,45.833333333333336,31.333333333333332,57.199037441879426,0.37340425531914906,57.57244169719858
AL Menaria,25,401.0,356.0,24.0,18.0,21.0,19.095238095238095,112.64044943820225,0.11797752808988764,110.0,144.0,3.0,18.2,7.854545454545455,48.0,36.666666666666664,44.18978063135366,-0.850909090909091,43.33887154044457
AM Nayar,51,672.0,577.0,55.0,20.0,38.0,17.68421052631579,116.46447140381282,0.12998266897746968,229.0,323.0,9.0,38.1,8.462882096069869,35.888888888888886,25.444444444444443,45.91267901121955,1.9689956331877732,47.881674644407326
AM Rahane,183,5032.0,4025.0,515.0,123.0,165.0,30.496969696969696,125.01863354037268,0.15850931677018634,6.0,5.0,1.0,1.0,5.0,5.0,6.0,54.6745642763034,-0.9666666666666667,53.70789760963673
AM Salvi,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,205.0,7.0,25.0,8.2,29.285714285714285,21.428571428571427,0.7000000000000001,1.049333333333334,1.7493333333333339
AN Ahmed,17,36.0,26.0,4.0,1.0,1.0,36.0,138.46153846153845,0.19230769230769232,349.0,515.0,15.0,58.1,8.853868194842407,34.333333333333336,23.266666666666666,61.38461538461538,4.852435530085959,66.23705091470134
AN Ghosh,2,7.0,8.0,1.0,0.0,2.0,3.5,87.5,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.15,0.2,30.349999999999998
AP Dole,3,34.0,22.0,3.0,1.0,2.0,17.0,154.54545454545453,0.18181818181818182,67.0,114.0,5.0,11.1,10.208955223880597,22.8,13.4,56.9,-0.5477611940298506,56.352238805970146
AP Majumdar,4,87.0,76.0,7.0,2.0,4.0,21.75,114.47368421052632,0.11842105263157894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.410526315789475,0.2,45.61052631578948
AP Tare,27,339.0,273.0,40.0,11.0,24.0,14.125,124.17582417582418,0.18681318681318682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.93901098901098,0.2,47.139010989010984
AR Bawne,1,12.0,12.0,1.0,0.0,0.0,12.0,100.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.56666666666666,0.2,36.766666666666666
AR Patel,163,1916.0,1430.0,130.0,94.0,87.0,22.022988505747126,133.98601398601397,0.15664335664335666,3321.0,4138.0,137.0,553.3,7.476061427280939,30.204379562043794,24.240875912408757,59.737866730970175,66.26543209876543,126.0032988297356
AS Joseph,22,27.0,32.0,3.0,0.0,1.0,27.0,84.375,0.09375,435.0,707.0,22.0,72.3,9.751724137931035,32.13636363636363,19.772727272727273,40.0875,8.084597701149425,48.172097701149426
AS Rajpoot,29,26.0,41.0,2.0,1.0,5.0,5.2,63.41463414634146,0.07317073170731707,539.0,844.0,24.0,89.5,9.39517625231911,35.166666666666664,22.458333333333332,24.96780487804878,9.190352504638218,34.158157382687
AS Raut,17,194.0,167.0,13.0,7.0,9.0,21.555555555555557,116.16766467065868,0.11976047904191617,30.0,45.0,0.0,5.0,9.0,45.0,30.0,46.667731204258146,-2.693333333333333,43.97439787092481
AS Roy,11,26.0,25.0,3.0,0.0,4.0,6.5,104.0,0.12,160.0,218.0,8.0,26.4,8.174999999999999,27.25,20.0,36.9,1.5575000000000003,38.457499999999996
AS Yadav,6,49.0,39.0,5.0,2.0,5.0,9.8,125.64102564102564,0.1794871794871795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.30205128205128,0.2,45.50205128205128
AT Carey,3,32.0,29.0,0.0,1.0,2.0,16.0,110.34482758620689,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.29310344827586,0.2,40.49310344827586
AT Rayudu,185,4348.0,3409.0,359.0,173.0,153.0,28.41830065359477,127.54473452625403,0.15605749486652978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.95189051664472,0.2,56.15189051664472
AU Rashid,3,22.0,16.0,2.0,1.0,2.0,11.0,137.5,0.1875,60.0,91.0,2.0,10.0,9.1,45.5,30.0,49.5,-1.7233333333333334,47.776666666666664
AUK Pathan,7,39.0,23.0,5.0,2.0,5.0,7.8,169.56521739130434,0.30434782608695654,39.0,63.0,0.0,6.3,9.692307692307692,63.0,39.0,60.27652173913044,-2.9025641025641025,57.37395763656634
Abdul Basith,1,1.0,1.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.5,0.2,30.7
Abdul Samad,51,743.0,490.0,45.0,50.0,39.0,19.05128205128205,151.6326530612245,0.19387755102040816,56.0,119.0,2.0,9.2,12.75,59.5,28.0,58.18785975928833,-2.8178571428571426,55.37000261643119
Abdur Razzak,1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,29.0,0.0,2.1,13.384615384615385,29.0,13.0,0.1,-4.0,-3.9
Abhishek Sharma,77,1816.0,1114.0,174.0,101.0,67.0,27.104477611940297,163.01615798922802,0.24685816876122083,337.0,509.0,11.0,56.1,9.062314540059347,46.27272727272727,30.636363636363637,65.68380181676893,2.7878338278931754,68.47163564466211
Abishek Porel,29,661.0,441.0,65.0,27.0,26.0,25.423076923076923,149.88662131519274,0.20861678004535147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.607552764695626,0.2,59.80755276469563
Akash Deep,14,25.0,14.0,2.0,2.0,3.0,8.333333333333334,178.57142857142858,0.2857142857142857,282.0,554.0,11.0,47.0,11.787234042553191,50.36363636363637,25.636363636363637,63.71904761904763,1.9716312056737593,65.69067882472139
Akash Madhwal,17,8.0,14.0,0.0,0.0,0.0,8.0,57.142857142857146,0.0,359.0,598.0,26.0,59.5,9.994428969359332,23.0,13.807692307692308,22.04285714285714,10.016155988857939,32.059013131715076
Akash Singh,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.0,326.0,9.0,34.1,9.541463414634148,36.22222222222222,22.77777777777778,1.0,1.6463414634146338,2.646341463414634
Aman Hakim Khan,10,115.0,104.0,8.0,6.0,9.0,12.777777777777779,110.57692307692308,0.1346153846153846,6.0,13.0,0.0,1.0,13.0,13.0,6.0,41.07649572649573,-3.8666666666666667,37.20982905982906
Anand Rajan,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,206.0,10.0,25.0,8.24,20.6,15.0,0.8,2.541333333333333,3.341333333333333
Aniket Verma,12,236.0,142.0,12.0,20.0,9.0,26.22222222222222,166.19718309859155,0.22535211267605634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.15508607198747,0.2,65.35508607198747
Anirudh Singh,4,63.0,66.0,6.0,1.0,4.0,15.75,95.45454545454545,0.10606060606060606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.05757575757576,0.2,37.257575757575765
Ankit Sharma,21,87.0,67.0,7.0,4.0,7.0,12.428571428571429,129.8507462686567,0.16417910447761194,367.0,453.0,12.0,61.1,7.405994550408719,37.75,30.583333333333332,48.61023454157782,3.784741144414169,52.39497568599199
Ankit Soni,6,7.0,9.0,0.0,1.0,2.0,3.5,77.77777777777777,0.1111111111111111,109.0,145.0,4.0,18.1,7.981651376146789,36.25,27.25,27.35555555555555,-0.3871559633027519,26.968399592252798
Anmolpreet Singh,9,139.0,115.0,19.0,3.0,9.0,15.444444444444445,120.8695652173913,0.19130434782608696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.26473429951691,0.2,46.46473429951691
Anuj Rawat,21,318.0,267.0,26.0,14.0,16.0,19.875,119.10112359550561,0.149812734082397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.17659176029962,0.2,47.376591760299625
Anureet Singh,22,36.0,47.0,2.0,1.0,4.0,9.0,76.59574468085107,0.06382978723404255,419.0,636.0,21.0,69.5,9.107398568019093,30.285714285714285,19.952380952380953,29.655319148936172,7.777804295942721,37.433123444878895
Arjun Tendulkar,5,13.0,9.0,0.0,1.0,1.0,13.0,144.44444444444446,0.1111111111111111,74.0,117.0,4.0,12.2,9.486486486486486,29.25,18.5,51.15555555555556,-0.8351351351351347,50.320420420420426
Arshad Khan,18,119.0,84.0,5.0,9.0,5.0,23.8,141.66666666666666,0.16666666666666666,261.0,502.0,12.0,43.3,11.540229885057471,41.833333333333336,21.75,56.65333333333333,2.5471264367816095,59.20045977011494
Arshad Khan (2),1,5.0,4.0,1.0,0.0,1.0,5.0,125.0,0.25,12.0,25.0,0.0,2.0,12.5,25.0,12.0,44.5,-3.7333333333333334,40.766666666666666
Arshdeep Singh,81,31.0,46.0,4.0,0.0,6.0,5.166666666666667,67.3913043478261,0.08695652173913043,1719.0,2624.0,106.0,286.3,9.158813263525305,24.754716981132077,16.21698113207547,31.523188405797104,50.26468877254217,81.78787717833927
Ashutosh Sharma,18,393.0,240.0,24.0,28.0,14.0,28.071428571428573,163.75,0.21666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.08690476190476,0.2,65.28690476190476
Ashwani Kumar,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,234.0,11.0,20.5,11.232000000000001,21.272727272727273,11.363636363636363,0.7000000000000001,2.1479999999999997,2.848
Atharva Taide,10,260.0,177.0,30.0,8.0,10.0,26.0,146.89265536723164,0.21468926553672316,1.0,4.0,0.0,0.1,24.0,4.0,1.0,58.76158192090395,-6.999999999999999,51.76158192090395
Avesh Khan,75,62.0,37.0,6.0,4.0,3.0,20.666666666666668,167.56756756756758,0.2702702702702703,1623.0,2497.0,94.0,270.3,9.231053604436228,26.56382978723404,17.26595744680851,71.14234234234235,44.2422674060382,115.38460974838054
Azhar Mahmood,23,388.0,303.0,39.0,13.0,19.0,20.42105263157895,128.05280528052805,0.1716171617161716,542.0,707.0,31.0,90.2,7.826568265682657,22.806451612903224,17.483870967741936,50.416605871113426,13.163468634686348,63.58007450579977
Azmatullah Omarzai,15,99.0,74.0,8.0,5.0,8.0,12.375,133.78378378378378,0.17567567567567569,288.0,476.0,12.0,48.0,9.916666666666666,39.666666666666664,24.0,49.29864864864865,3.0333333333333337,52.33198198198198
B Akhil,15,76.0,55.0,5.0,5.0,6.0,12.666666666666666,138.1818181818182,0.18181818181818182,189.0,246.0,7.0,31.3,7.809523809523809,35.142857142857146,27.0,51.057575757575755,1.1645502645502648,52.22212602212602
B Chipli,21,280.0,251.0,28.0,7.0,15.0,18.666666666666668,111.55378486055777,0.1394422310756972,6.0,20.0,0.0,1.0,20.0,20.0,6.0,44.321646746347945,-5.966666666666667,38.354980079681276
B Geeves,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,91.0,2.0,8.0,11.375,45.5,24.0,0.2,-2.404166666666667,-2.2041666666666666
B Indrajith,3,21.0,30.0,2.0,0.0,3.0,7.0,70.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.133333333333333,0.2,25.333333333333332
B Kumar,190,320.0,351.0,31.0,3.0,38.0,8.421052631578947,91.16809116809117,0.09686609686609686,4234.0,5541.0,213.0,705.4,7.852149267831838,26.014084507042252,19.877934272300468,47.85617034038087,104.1544166273028,152.01058696768365
B Laughlin,9,5.0,13.0,0.0,0.0,2.0,2.5,38.46153846153846,0.0,169.0,284.0,10.0,28.1,10.08284023668639,28.4,16.9,13.238461538461538,1.98698224852071,15.225443786982247
B Lee,38,124.0,97.0,8.0,8.0,10.0,12.4,127.83505154639175,0.16494845360824742,888.0,1126.0,30.0,148.0,7.608108108108108,37.53333333333333,29.6,49.40948453608247,12.724324324324323,62.133808860406795
B Sai Sudharsan,40,1793.0,1229.0,183.0,53.0,36.0,49.80555555555556,145.89096826688365,0.1920260374288039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.9300334508634,0.2,68.13003345086341
B Stanlake,6,5.0,2.0,1.0,0.0,0.0,5.0,250.0,0.5,144.0,200.0,7.0,24.0,8.333333333333334,28.571428571428573,20.571428571428573,87.6,1.0097222222222222,88.60972222222222
B Sumanth,4,35.0,37.0,3.0,0.0,1.0,35.0,94.5945945945946,0.08108108108108109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.3,0.2,44.5
BA Bhatt,15,6.0,7.0,0.0,1.0,1.0,6.0,85.71428571428571,0.14285714285714285,297.0,408.0,13.0,49.3,8.242424242424242,31.384615384615383,22.846153846153847,32.371428571428574,4.0360269360269365,36.40745550745551
BA Stokes,45,935.0,698.0,81.0,32.0,38.0,24.605263157894736,133.9541547277937,0.16189111747851004,693.0,1023.0,31.0,115.3,8.857142857142858,33.0,22.35483870967742,53.96617403106621,12.851803751803752,66.81797778286996
BAW Mendis,10,3.0,6.0,0.0,0.0,2.0,1.5,50.0,0.0,245.0,306.0,9.0,40.5,7.493877551020407,34.0,27.22222222222222,16.4,2.259183673469388,18.659183673469386
BB McCullum,109,2882.0,2190.0,293.0,130.0,104.0,27.71153846153846,131.59817351598173,0.19315068493150686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.92708113804004,0.2,55.12708113804004
BB Samantray,8,125.0,113.0,13.0,2.0,5.0,25.0,110.61946902654867,0.13274336283185842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.140707964601766,0.2,46.34070796460177
BB Sran,24,10.0,14.0,0.0,0.0,1.0,10.0,71.42857142857143,0.0,486.0,767.0,20.0,81.0,9.469135802469136,38.35,24.3,27.728571428571428,7.167489711934157,34.89606114050559
BCJ Cutting,21,238.0,141.0,15.0,19.0,11.0,21.636363636363637,168.79432624113474,0.24113475177304963,281.0,430.0,12.0,46.5,9.181494661921707,35.833333333333336,23.416666666666668,65.11553836234687,3.2540925266903917,68.36963088903725
BE Hendricks,7,1.0,3.0,0.0,0.0,1.0,1.0,33.333333333333336,0.0,151.0,239.0,11.0,25.1,9.496688741721854,21.727272727272727,13.727272727272727,11.0,2.665562913907285,13.665562913907285
BJ Haddin,1,18.0,11.0,2.0,1.0,1.0,18.0,163.63636363636363,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.74545454545454,0.2,61.945454545454545
BJ Hodge,63,1400.0,1118.0,122.0,43.0,42.0,33.333333333333336,125.22361359570662,0.1475849731663685,234.0,310.0,18.0,39.0,7.948717948717949,17.22222222222222,13.0,55.952116875372695,6.63076923076923,62.58288610614193
BJ Rohrer,8,193.0,141.0,21.0,5.0,7.0,27.571428571428573,136.87943262411346,0.18439716312056736,6.0,12.0,0.0,1.0,12.0,12.0,6.0,55.88034447821681,-3.5666666666666664,52.31367781155015
BKG Mendis,1,20.0,10.0,1.0,2.0,1.0,20.0,200.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.2,74.2
BMAJ Mendis,3,23.0,27.0,0.0,0.0,3.0,7.666666666666667,85.18518518518519,0.0,30.0,36.0,1.0,5.0,7.2,36.0,30.0,28.622222222222224,-1.6533333333333335,26.96888888888889
BR Dunk,3,40.0,35.0,7.0,0.0,3.0,13.333333333333334,114.28571428571429,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.61904761904762,0.2,43.81904761904762
BR Sharath,1,2.0,5.0,0.0,0.0,1.0,2.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.8,0.2,13.0
BW Hilfenhaus,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0,497.0,23.0,62.3,7.952,21.608695652173914,16.304347826086957,1.7000000000000002,9.126666666666667,10.826666666666668
Basil Thampi,25,32.0,35.0,1.0,1.0,1.0,32.0,91.42857142857143,0.05714285714285714,522.0,862.0,26.0,87.0,9.908045977011493,33.15384615384615,20.076923076923077,43.77142857142857,10.037547892720308,53.808976464148884
Bipul Sharma,29,187.0,123.0,11.0,9.0,8.0,23.375,152.03252032520325,0.16260162601626016,426.0,581.0,22.0,71.0,8.183098591549296,26.40909090909091,19.363636363636363,60.31178861788618,8.555399061032864,68.86718767891904
C Bosch,3,47.0,32.0,3.0,3.0,2.0,23.5,146.875,0.1875,42.0,56.0,1.0,7.0,8.0,56.0,42.0,57.3125,-1.8952380952380952,55.41726190476191
C Ganapathy,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,13.0,0.0,1.0,13.0,13.0,6.0,0.1,-3.8666666666666667,-3.7666666666666666
C Green,29,707.0,460.0,62.0,32.0,17.0,41.588235294117645,153.69565217391303,0.20434782608695654,440.0,675.0,20.0,73.2,9.204545454545455,33.75,22.0,68.0309462915601,7.247727272727272,75.27867356428737
C Madan,1,15.0,19.0,3.0,0.0,1.0,15.0,78.94736842105263,0.15789473684210525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.84210526315789,0.2,33.04210526315789
C Munro,12,177.0,141.0,19.0,8.0,11.0,16.09090909090909,125.53191489361703,0.19148936170212766,12.0,15.0,0.0,2.0,7.5,15.0,12.0,48.0257253384913,-2.2333333333333334,45.792392005157964
